longitude,latitude,time,swvl1,swvl2,swvl3,swvl4,vwc_rzd
9.100000381469727,47.900001525878906,2018-01-03 17:00:00,0.4196015,0.4255828,0.42396557,0.41046047,0.42399973
9.100000381469727,47.900001525878906,2018-01-03 18:00:00,0.41867125,0.4252614,0.42398226,0.41052297,0.42387912
9.100000381469727,47.900001525878906,2018-01-03 19:00:00,0.41723752,0.4248975,0.42398226,0.410583,0.42370236
9.100000381469727,47.900001525878906,2018-01-03 20:00:00,0.41600037,0.4245005,0.42398226,0.4106305,0.42353237
9.100000381469727,47.900001525878906,2018-01-03 21:00:00,0.4148879,0.4240893,0.42396557,0.41067553,0.42335615
9.100000381469727,47.900001525878906,2018-01-03 22:00:00,0.41499338,0.42370647,0.4239489,0.41073552,0.42327112
9.100000381469727,47.900001525878906,2018-01-03 23:00:00,0.41485432,0.42333785,0.4239364,0.41079804,0.42317498
9.100000381469727,47.900001525878906,2018-01-04 00:00:00,0.4144755,0.42297393,0.42390305,0.41085804,0.42304802
9.100000381469727,47.900001525878906,2018-01-04 01:00:00,0.4138042,0.4225911,0.42389056,0.41091806,0.4229116
9.100000381469727,47.900001525878906,2018-01-04 02:00:00,0.41332948,0.42217994,0.42387387,0.41096556,0.42278004
9.100000381469727,47.900001525878906,2018-01-04 03:00:00,0.4138042,0.421816,0.4238447,0.41101056,0.42271584
9.100000381469727,47.900001525878906,2018-01-04 04:00:00,0.41851783,0.4216317,0.42381138,0.4110706,0.4229831
9.100000381469727,47.900001525878906,2018-01-04 05:00:00,0.42558104,0.42172146,0.42379886,0.4111181,0.42348737
9.100000381469727,47.900001525878906,2018-01-04 06:00:00,0.43054402,0.4222697,0.4237655,0.4111781,0.42392588
9.100000381469727,47.900001525878906,2018-01-04 07:00:00,0.42767173,0.423111,0.42375302,0.4112406,0.42389253
9.100000381469727,47.900001525878906,2018-01-04 08:00:00,0.42764294,0.42356944,0.42373633,0.41128564,0.42397475
9.100000381469727,47.900001525878906,2018-01-04 09:00:00,0.43208325,0.42422637,0.42371967,0.41134563,0.42441154
9.100000381469727,47.900001525878906,2018-01-04 10:00:00,0.44043157,0.4259656,0.42373633,0.41139314,0.42537314
9.100000381469727,47.900001525878906,2018-01-04 11:00:00,0.4178465,0.43763936,0.42381138,0.41143817,0.42629772
9.100000381469727,47.900001525878906,2018-01-04 12:00:00,0.42352393,0.43475163,0.42529094,0.41148317,0.427154
9.100000381469727,47.900001525878906,2018-01-04 13:00:00,0.43637007,0.4347091,0.4257036,0.41156068,0.42834142
9.100000381469727,47.900001525878906,2018-01-04 14:00:00,0.43937665,0.43831047,0.42613286,0.4116207,0.42961723
9.100000381469727,47.900001525878906,2018-01-04 15:00:00,0.42634347,0.43989378,0.42767498,0.4117132,0.43014774
9.100000381469727,47.900001525878906,2018-01-04 16:00:00,0.41247594,0.43251142,0.43299735,0.41178823,0.43145883
9.100000381469727,47.900001525878906,2018-01-04 17:00:00,0.4290623,0.4321428,0.43295148,0.41195574,0.43250942
9.100000381469727,47.900001525878906,2018-01-04 18:00:00,0.4392999,0.4333196,0.43290564,0.4121083,0.4334402
9.100000381469727,47.900001525878906,2018-01-04 19:00:00,0.4153914,0.44021514,0.43296814,0.41227832,0.43325964
9.100000381469727,47.900001525878906,2018-01-04 20:00:00,0.4034275,0.4310463,0.4373944,0.41243085,0.43368363
9.100000381469727,47.900001525878906,2018-01-04 21:00:00,0.41776976,0.42925978,0.4371777,0.4127359,0.4341564
9.100000381469727,47.900001525878906,2018-01-04 22:00:00,0.43043372,0.42828146,0.4369818,0.41304097,0.43469638
9.100000381469727,47.900001525878906,2018-01-04 23:00:00,0.43711814,0.42866427,0.43678173,0.41329852,0.43510062
9.100000381469727,47.900001525878906,2018-01-05 00:00:00,0.43550217,0.43154728,0.43710268,0.41357356,0.435824
9.100000381469727,47.900001525878906,2018-01-05 01:00:00,0.41354525,0.43633965,0.43702763,0.41407868,0.43523937
9.100000381469727,47.900001525878906,2018-01-05 02:00:00,0.41494542,0.4312306,0.43733191,0.41445875,0.4344836
9.100000381469727,47.900001525878906,2018-01-05 03:00:00,0.41433644,0.42918417,0.43711933,0.4147488,0.43385816
9.100000381469727,47.900001525878906,2018-01-05 04:00:00,0.41319042,0.42730784,0.43690678,0.41503885,0.43323088
9.100000381469727,47.900001525878906,2018-01-05 05:00:00,0.41195807,0.4255072,0.43669006,0.4152989,0.43261042
9.100000381469727,47.900001525878906,2018-01-05 06:00:00,0.41076887,0.4238152,0.43647748,0.41555896,0.43201882
