timestep,demand_water,demand_f,dewatered_sludge,temperature,demand_electricity,heat_demand_digester,electricity_demand_digester
120,169.3267,0.084862,30.91,10.609,44.26,3.2776985922687136,2.3073691201302537
121,170.3267,0.0,30.91,10.713,44.26,3.2637229187171597,2.3073691201302537
122,171.3267,0.0,30.91,10.62,44.26,3.276220396027684,2.3073691201302537
123,172.3267,0.062188,30.91,10.438,44.26,3.3006778247429027,2.3073691201302537
124,173.3267,0.15426,30.91,10.105,44.26,3.3454268564031664,2.3073691201302537
125,174.3267,0.16016,30.91,9.732,44.26,3.3955511471217195,2.3073691201302537
126,175.3267,0.1036,30.91,9.867,44.26,3.3774096477999906,2.3073691201302537
127,176.3267,0.084862,30.91,10.51,44.26,3.2910023584379813,2.3073691201302537
128,177.3267,0.052101,30.91,11.535,44.26,3.153261345069303,2.3073691201302537
129,178.3267,0.014673,30.91,12.121,44.26,3.074513799865356,2.3073691201302537
130,179.3267,0.0,30.91,12.158,44.26,3.069541685236438,2.3073691201302537
131,180.3267,0.0,30.91,11.913,44.26,3.1024651469684636,2.3073691201302537
132,181.3267,0.0,30.91,11.463,44.26,3.162936811374225,2.3073691201302537
133,182.3267,0.0,30.91,10.885,44.26,3.2406093047665134,2.3073691201302537
134,183.3267,0.0,30.91,10.188,44.26,3.3342731938572143,2.3073691201302537
135,184.3267,0.0,30.91,9.775,44.26,3.389772743634058,2.3073691201302537
136,185.3267,0.0,30.91,9.737,44.26,3.3948792397394327,2.3073691201302537
137,186.3267,0.0,30.91,9.883,44.26,3.375259544176675,2.3073691201302537
138,187.3267,0.0,30.91,9.886,44.26,3.374856399747303,2.3073691201302537
139,188.3267,0.0,30.91,9.796,44.26,3.386950732628456,2.3073691201302537
140,189.3267,0.0,30.91,9.642,44.26,3.4076454800028717,2.3073691201302537
141,190.3267,0.0,30.91,9.507,44.26,3.4257869793246,2.3073691201302537
142,191.3267,0.0,30.91,9.27,44.26,3.4576353892449676,2.3073691201302537
143,192.3267,0.0,30.91,9.058,44.26,3.486124262253904,2.3073691201302537
144,193.3267,0.0,30.91,8.977,44.26,3.4970091618469406,2.3073691201302537
145,194.3267,0.0,30.91,8.841,44.26,3.515285042645126,2.3073691201302537
146,195.3267,0.062188,30.91,8.849,44.26,3.5142099908334687,2.3073691201302537
147,196.3267,0.15426,30.91,8.998,44.26,3.4941871508413387,2.3073691201302537
148,197.3267,0.16016,30.91,9.089,44.26,3.481958436483729,2.3073691201302537
149,198.3267,0.1036,30.91,9.21,44.26,3.4656982778324026,2.3073691201302537
150,58.2893,0.084862,30.91,9.341,44.26,3.448094304416503,2.3073691201302537
151,59.2893,0.0,30.91,9.381,44.26,3.442719045358213,2.3073691201302537
152,60.2893,0.0,30.91,9.663,44.26,3.4048234689972694,2.3073691201302537
153,61.2893,0.062188,30.91,10.443,44.26,3.300005917360617,2.3073691201302537
154,62.2893,0.15426,30.91,11.062,44.26,3.216823783433581,2.3073691201302537
155,63.2893,0.16016,30.91,11.414,44.26,3.1695215037206292,2.3073691201302537
156,64.2893,0.1036,30.91,11.508,44.26,3.1568896449336488,2.3073691201302537
157,65.2893,0.084862,30.91,11.308,44.26,3.183765940225098,2.3073691201302537
158,66.2893,0.052101,30.91,10.818,44.26,3.2496128636891495,2.3073691201302537
159,67.2893,0.014673,30.91,10.269,44.26,3.323388294264178,2.3073691201302537
160,68.2893,0.0,30.91,10.004,44.26,3.3589993855253484,2.3073691201302537
161,69.2893,0.0,30.91,9.807,44.26,3.3854725363874256,2.3073691201302537
162,70.2893,0.0,30.91,9.769,44.26,3.3905790324928016,2.3073691201302537
163,71.2893,0.0,30.91,9.815,44.26,3.384397484575768,2.3073691201302537
164,72.2893,0.0,30.91,9.906,44.26,3.3721687702181584,2.3073691201302537
165,73.2893,0.0,30.91,9.966,44.26,3.3641058816307234,2.3073691201302537
166,74.2893,0.0,30.91,10.147,44.26,3.3397828343919618,2.3073691201302537
167,75.2893,0.0,30.91,10.227,44.26,3.3290323162753825,2.3073691201302537
168,76.2893,0.0,30.91,10.145,44.26,3.340051597344876,2.3073691201302537
169,77.2893,0.0,30.91,9.964,44.26,3.3643746445836387,2.3073691201302537
170,78.2893,0.0,30.91,9.768,44.26,3.3907134139692587,2.3073691201302537
171,79.2893,0.0,30.91,9.516,44.26,3.4245775460364847,2.3073691201302537
172,80.2893,0.0,30.91,9.201,44.26,3.466907711120517,2.3073691201302537
173,81.2893,0.0,30.91,8.88,44.26,3.5100441650632934,2.3073691201302537
174,82.2893,0.0,30.91,8.695,44.26,3.5349047382078846,2.3073691201302537
175,83.2893,0.0,30.91,9.077,44.26,3.4835710142012166,2.3073691201302537
176,84.2893,0.062188,30.91,9.98,44.26,3.362224540960322,2.3073691201302537
177,85.2893,0.15426,30.91,11.102,44.26,3.2114485243752906,2.3073691201302537
178,86.2893,0.16016,30.91,11.584,44.26,3.1466766527228978,2.3073691201302537
179,87.2893,0.1036,30.91,11.441,44.26,3.165893203856284,2.3073691201302537
180,88.2893,0.084862,30.91,11.27,44.26,3.1888724363304735,2.3073691201302537
181,89.2893,0.0,30.91,10.983,44.26,3.2274399200737034,2.3073691201302537
